id;project_name;priority;project_manager;est_start_date;est_end_date;actual_start_date;actual_end_date;description;sort_order;date_added;date_modified
1;Plastic Franc;Rhode;Gourde;2022-07-17;2022-07-18;2022-07-18;2022-07-17;reboot methodical Loan;68383;2022-07-18;2022-07-17
2;Polarised Soap;withdrawal high-level optimal;digital Hat;2022-07-18;2022-07-17;2022-07-18;2022-07-18;Coordinator;80321;2022-07-18;2022-07-18
3;overriding web-readiness;Oregon;East Chair exuding;2022-07-18;2022-07-17;2022-07-17;2022-07-18;Soft Wyoming;15703;2022-07-18;2022-07-17
4;Avon Pizza;evolve Bedfordshire strategize;bypassing engine;2022-07-17;2022-07-17;2022-07-17;2022-07-18;Books seamless;50419;2022-07-18;2022-07-17
5;Mongolia;COM;synthesize;2022-07-18;2022-07-18;2022-07-17;2022-07-18;Principal hack;36912;2022-07-18;2022-07-18
6;teal;Awesome;Investor blue multi-byte;2022-07-18;2022-07-18;2022-07-18;2022-07-18;leverage withdrawal Research;34301;2022-07-18;2022-07-17
7;Clothing Paradigm;invoice transition;e-services;2022-07-18;2022-07-18;2022-07-18;2022-07-18;Gorgeous sexy;99720;2022-07-18;2022-07-18
8;green Avon Grocery;Steel demand-driven;transmit Louisiana;2022-07-18;2022-07-17;2022-07-17;2022-07-18;Loan copy Electronics;64457;2022-07-18;2022-07-17
9;Web turquoise;Account compressing;Florida TCP;2022-07-17;2022-07-18;2022-07-17;2022-07-18;Georgia withdrawal Venezuela;52988;2022-07-18;2022-07-18
10;fuchsia;Officer;infomediaries;2022-07-17;2022-07-18;2022-07-18;2022-07-18;Federation;34931;2022-07-18;2022-07-18
