id;event_date;user_reporting_count;event_cards_repition;status;sort_order;transaction_date;date_modified
1;2022-07-18;89811;94442;COMPLETED;67962;2022-07-18;2022-07-18
2;2022-07-17;50307;28103;COMPLETED;44684;2022-07-18;2022-07-18
3;2022-07-18;72066;14608;CANCELLED;4718;2022-07-18;2022-07-18
4;2022-07-18;41843;305;COMPLETED;55477;2022-07-18;2022-07-18
5;2022-07-17;44439;68340;CANCELLED;16777;2022-07-18;2022-07-17
6;2022-07-18;88058;265;COMPLETED;12212;2022-07-17;2022-07-17
7;2022-07-18;95188;8359;CANCELLED;92193;2022-07-18;2022-07-18
8;2022-07-18;80794;41308;CANCELLED;92667;2022-07-18;2022-07-18
9;2022-07-17;55732;46823;INPROGRESS;97619;2022-07-18;2022-07-18
10;2022-07-18;40538;54605;COMPLETED;12888;2022-07-18;2022-07-18
