id;name;date;type;status;assigned_to;sort_order;date_added;date_modified
1;(Chagos Gorgeous Frozen;2022-07-18;Ball;COMPLETED;withdrawal Borders value-added;49270;2022-07-17;2022-07-18
2;Fort;2022-07-18;envisioneer evolve Function-based;INPROGRESS;invoice;23775;2022-07-18;2022-07-17
3;applications TCP;2022-07-18;invoice Assistant Object-based;INPROGRESS;Producer program purple;48505;2022-07-18;2022-07-17
4;real-time;2022-07-17;Leone;INPROGRESS;Analyst Sharable Global;70360;2022-07-18;2022-07-17
5;1080p SSL SDD;2022-07-18;Market De-engineered Lebanon;COMPLETED;frictionless model;82813;2022-07-17;2022-07-18
6;e-commerce invoice;2022-07-18;solid;COMPLETED;drive Team-oriented;75233;2022-07-18;2022-07-17
7;bleeding-edge Granite;2022-07-18;invoice neural transmitting;ONHOLD;THX generating synergies;39849;2022-07-18;2022-07-18
8;Cambridgeshire;2022-07-17;Pants Cheese digital;COMPLETED;expedite Sausages;83641;2022-07-18;2022-07-18
9;channels front-end;2022-07-17;hacking Georgia copying;COMPLETED;static;47358;2022-07-18;2022-07-18
10;tolerance;2022-07-18;Central Forward drive;COMPLETED;system-worthy;52076;2022-07-17;2022-07-17
